100 110 290
100 111 550
100 114 930
101 102 95
102 103 30
103 105 40
103 106 80
104 101 90
104 102 110
105 107 15
105 110 520
106 100 590
107 108 20
108 109 10
109 106 15
111 117 190
111 118 180
112 113 50
112 114 340
114 116 120
115 114 135
116 115 100
117 118 90
118 119 150
119 112 340
119 113 360
119 114 390
1 20 144
1 3 135
1 4 138
1 5 162
20 22 166
20 4 165
22 21 225
22 24 318
22 25 281
24 26 194
25 24 121
25 26 190
25 27 264
26 27 286
26 28 289
27 28 157
27 29 125
27 30 213
28 29 122
29 30 240
30 21 221
30 25 421
3 2 163
3 22 336
3 7 111
5 2 100
6 2 200
7 6 68
