101 Michelbinge 3200 103 334
22 Nuernberg 503110 24 309
106 Hagsend 4120 104 292
103 Wasserau 2314 103 324
7 SanktPoelten 51518 9 475
21 Frankfurt 659021 23 112
112 Osgiliath 11300 105 230
2 Graz 255354 4 353
27 Hannover 518088 28 55
26 Berlin 3429870 27 34
104 Untertuermen 2450 103 415
28 Hamburg 1773218 29 6
115 Barad-dur 1400 108 340
114 Morannon 50 106 480
105 Neuburg 3176 104 311
3 Linz 189069 5 266
110 Bruchtal 890 101 630
30 Dortmund 586909 30 76
118 Edoras 7892 110 405
109 Dornbuehl 1189 104 295
24 Dresden 507513 26 113
100 Moria 9500 100 750
108 Bockenburg 3790 104 299
23 Stuttgart 597176 25 245
20 Muenchen 1365052 20 519
113 MinasTirith 15000 105 245
4 Innsbruck 119250 6 574
111 Isengard 130 105 450
119 Aldburg 9124 111 385
25 Leipzig 513082 26 113
6 Wien 1681469 8 200
116 Orodruin 2320 108 1413
117 HelmsKlamm 780 110 510
102 Hobbingen 4220 103 315
29 Bremen 548477 28 11
1 Salzburg 149355 1 424
5 Klagenfurt 92807 7 446
107 Krickloch 950 104 324
